step,mloss,gloss,loss
1.0,0.0,1.0008,1.0008
2.0,0.0,2.1921,2.1921
3.0,0.0,1.001,1.001
4.0,0.0,0.9967,0.9967
5.0,0.0,1.0003,1.0003
6.0,0.0,1.0016,1.0016
7.0,0.0,0.9997,0.9997
8.0,0.0,1.004,1.004
9.0,0.0,1.0023,1.0023
10.0,0.0,0.9977,0.9977
11.0,0.0,1.0029,1.0029
12.0,0.0,0.9989,0.9989
13.0,0.0,1.0,1.0
14.0,0.0,1.0021,1.0021
15.0,0.0,1.0014,1.0014
16.0,0.0,1.0013,1.0013
17.0,0.0,1.0,1.0
18.0,0.0,0.9989,0.9989
19.0,0.0,1.0021,1.0021
20.0,0.0,0.9987,0.9987
21.0,0.0,0.9978,0.9978
22.0,0.0,0.9967,0.9967
23.0,0.0,0.9987,0.9987
24.0,0.0,1.0038,1.0038
25.0,0.0,1.0027,1.0027
26.0,0.0,1.001,1.001
27.0,0.0,1.0014,1.0014
28.0,0.0,0.998,0.998
29.0,0.0,1.0,1.0
30.0,0.0,0.9963,0.9963
31.0,0.0,0.9951,0.9951
32.0,0.0,1.0,1.0
33.0,0.0,0.9951,0.9951
34.0,0.0,1.0014,1.0014
35.0,0.0,1.0057,1.0057
36.0,0.0,0.9991,0.9991
37.0,0.0,1.0,1.0
38.0,0.0,1.0016,1.0016
39.0,0.0,0.9995,0.9995
40.0,0.0,0.9977,0.9977
41.0,0.0,0.9952,0.9952
42.0,0.0,0.9975,0.9975
43.0,0.0,0.9938,0.9938
44.0,0.0,0.9949,0.9949
45.0,0.0,0.9939,0.9939
46.0,0.0,1.0011,1.0011
47.0,0.0,1.0007,1.0007
48.0,0.0,0.9948,0.9948
49.0,0.0,0.9922,0.9922
50.0,0.0,0.9956,0.9956
51.0,0.0,1.0046,1.0046
52.0,0.0,1.0053,1.0053
53.0,0.0,1.0011,1.0011
54.0,0.0,0.9994,0.9994
55.0,0.0,1.0017,1.0017
56.0,0.0,0.9998,0.9998
57.0,0.0,0.9974,0.9974
58.0,0.0,0.9952,0.9952
59.0,0.0,1.0039,1.0039
60.0,0.0,1.0017,1.0017
61.0,0.0,0.996,0.996
62.0,0.0,0.9995,0.9995
63.0,0.0,0.9995,0.9995
64.0,0.0,0.9966,0.9966
65.0,0.0,1.0005,1.0005
66.0,0.0,1.0105,1.0105
67.0,0.0,0.9985,0.9985
68.0,0.0,0.9985,0.9985
69.0,0.0,0.9999,0.9999
70.0,0.0,0.9999,0.9999
71.0,0.0,1.0012,1.0012
72.0,0.0,1.0006,1.0006
73.0,0.0,1.0025,1.0025
74.0,0.0,0.9978,0.9978
75.0,0.0,0.9985,0.9985
76.0,0.0,0.9944,0.9944
77.0,0.0,1.0381,1.0381
78.0,0.0,1.0003,1.0003
79.0,0.0,0.9981,0.9981
80.0,0.0,0.9976,0.9976
81.0,0.0,1.0001,1.0001
82.0,0.0,1.0035,1.0035
83.0,0.0,1.0006,1.0006
84.0,0.0,1.0004,1.0004
85.0,0.0,0.9982,0.9982
86.0,0.0,0.9981,0.9981
87.0,0.0,0.9973,0.9973
88.0,0.0,0.9948,0.9948
89.0,0.0,0.9987,0.9987
90.0,0.0,1.0003,1.0003
91.0,0.0,0.9974,0.9974
92.0,0.0,0.9976,0.9976
93.0,0.0,0.9952,0.9952
94.0,0.0,0.9955,0.9955
95.0,0.0,0.9962,0.9962
96.0,0.0,0.9948,0.9948
97.0,0.0,0.9961,0.9961
98.0,0.0,0.993,0.993
99.0,0.0,0.9959,0.9959
100.0,0.0,0.9936,0.9936
101.0,0.0,0.9974,0.9974
102.0,0.0,0.9943,0.9943
103.0,0.0,0.995,0.995
104.0,0.0,0.9916,0.9916
105.0,0.0,0.99,0.99
106.0,0.0,0.9928,0.9928
107.0,0.0,0.9931,0.9931
108.0,0.0,0.9925,0.9925
109.0,0.0,0.9925,0.9925
110.0,0.0,0.9888,0.9888
111.0,0.0,0.9889,0.9889
112.0,0.0,0.9893,0.9893
113.0,0.0,0.99,0.99
114.0,0.0,0.9875,0.9875
115.0,0.0,0.9888,0.9888
116.0,0.0,0.9894,0.9894
117.0,0.0,0.9903,0.9903
118.0,0.0,0.9883,0.9883
119.0,0.0,0.9906,0.9906
120.0,0.0,0.9929,0.9929
121.0,0.0,0.9862,0.9862
122.0,0.0,0.9848,0.9848
123.0,0.0,0.9859,0.9859
124.0,0.0,0.9847,0.9847
125.0,0.0,0.9832,0.9832
126.0,0.0,0.9887,0.9887
127.0,0.0,0.9813,0.9813
128.0,0.0,0.9815,0.9815
129.0,0.0,0.9826,0.9826
130.0,0.0,0.9843,0.9843
131.0,0.0,0.9728,0.9728
132.0,0.0,0.9753,0.9753
133.0,0.0,0.9771,0.9771
134.0,0.0,0.975,0.975
135.0,0.0,0.9774,0.9774
136.0,0.0,0.9717,0.9717
137.0,0.0,0.975,0.975
138.0,0.0,0.9715,0.9715
139.0,0.0,0.9691,0.9691
140.0,0.0,0.9769,0.9769
141.0,0.0,0.9795,0.9795
142.0,0.0,0.9771,0.9771
143.0,0.0,0.9781,0.9781
144.0,0.0,0.9731,0.9731
145.0,0.0,0.9749,0.9749
146.0,0.0,0.9751,0.9751
147.0,0.0,0.9669,0.9669
148.0,0.0,0.9725,0.9725
149.0,0.0,0.9705,0.9705
150.0,0.0,0.9698,0.9698
151.0,0.0,0.9654,0.9654
152.0,0.0,0.963,0.963
153.0,0.0,0.9635,0.9635
154.0,0.0,0.9624,0.9624
155.0,0.0,0.9603,0.9603
156.0,0.0,0.9626,0.9626
157.0,0.0,0.9571,0.9571
158.0,0.0,0.9635,0.9635
159.0,0.0,0.9632,0.9632
160.0,0.0,0.9602,0.9602
161.0,0.0,0.9599,0.9599
162.0,0.0,0.9616,0.9616
163.0,0.0,0.9594,0.9594
164.0,0.0,0.9545,0.9545
165.0,0.0,0.9573,0.9573
166.0,0.0,0.9622,0.9622
167.0,0.0,0.9598,0.9598
168.0,0.0,0.9582,0.9582
169.0,0.0,0.9564,0.9564
170.0,0.0,0.9517,0.9517
171.0,0.0,0.9533,0.9533
172.0,0.0,0.9521,0.9521
173.0,0.0,0.9755,0.9755
174.0,0.0,0.9593,0.9593
175.0,0.0,0.9638,0.9638
176.0,0.0,0.965,0.965
177.0,0.0,0.9649,0.9649
178.0,0.0,0.9599,0.9599
179.0,0.0,0.9559,0.9559
180.0,0.0,0.9545,0.9545
181.0,0.0,0.9495,0.9495
182.0,0.0,0.9557,0.9557
183.0,0.0,0.9591,0.9591
184.0,0.0,0.9537,0.9537
185.0,0.0,0.9518,0.9518
186.0,0.0,0.9513,0.9513
187.0,0.0,0.9509,0.9509
188.0,0.0,0.9498,0.9498
189.0,0.0,0.9445,0.9445
190.0,0.0,0.9436,0.9436
191.0,0.0,0.9419,0.9419
192.0,0.0,0.9427,0.9427
193.0,0.0,0.9388,0.9388
194.0,0.0,0.937,0.937
195.0,0.0,0.9357,0.9357
196.0,0.0,0.9309,0.9309
197.0,0.0,0.9327,0.9327
198.0,0.0,0.9398,0.9398
199.0,0.0,0.9321,0.9321
200.0,0.0,0.9342,0.9342
201.0,0.0,0.9282,0.9282
202.0,0.0,0.9271,0.9271
203.0,0.0,0.9226,0.9226
204.0,0.0,0.9255,0.9255
205.0,0.0,0.9308,0.9308
206.0,0.0,0.9431,0.9431
207.0,0.0,0.9344,0.9344
208.0,0.0,0.9375,0.9375
209.0,0.0,0.9442,0.9442
210.0,0.0,0.9348,0.9348
211.0,0.0,0.9317,0.9317
212.0,0.0,0.9258,0.9258
213.0,0.0,0.9293,0.9293
214.0,0.0,0.924,0.924
215.0,0.0,0.9336,0.9336
216.0,0.0,0.9483,0.9483
217.0,0.0,0.933,0.933
218.0,0.0,0.9425,0.9425
219.0,0.0,0.9368,0.9368
220.0,0.0,0.9344,0.9344
221.0,0.0,0.9314,0.9314
222.0,0.0,0.9218,0.9218
223.0,0.0,0.9267,0.9267
224.0,0.0,0.9227,0.9227
225.0,0.0,0.9252,0.9252
226.0,0.0,0.9182,0.9182
227.0,0.0,0.9188,0.9188
228.0,0.0,0.9202,0.9202
229.0,0.0,0.9186,0.9186
230.0,0.0,0.9141,0.9141
231.0,0.0,0.9137,0.9137
232.0,0.0,0.9094,0.9094
233.0,0.0,0.9185,0.9185
234.0,0.0,0.9282,0.9282
235.0,0.0,0.913,0.913
236.0,0.0,0.917,0.917
237.0,0.0,0.9143,0.9143
238.0,0.0,0.9084,0.9084
239.0,0.0,0.9073,0.9073
240.0,0.0,0.9062,0.9062
241.0,0.0,0.9113,0.9113
242.0,0.0,0.9197,0.9197
243.0,0.0,0.9134,0.9134
244.0,0.0,0.9163,0.9163
245.0,0.0,0.917,0.917
246.0,0.0,0.9107,0.9107
247.0,0.0,0.9091,0.9091
248.0,0.0,0.9064,0.9064
249.0,0.0,0.9033,0.9033
250.0,0.0,0.8984,0.8984
251.0,0.0,0.9043,0.9043
252.0,0.0,0.9281,0.9281
253.0,0.0,0.931,0.931
254.0,0.0,0.9197,0.9197
255.0,0.0,0.9188,0.9188
256.0,0.0,0.9224,0.9224
257.0,0.0,0.9212,0.9212
258.0,0.0,0.9117,0.9117
259.0,0.0,0.9011,0.9011
260.0,0.0,0.9012,0.9012
261.0,0.0,0.8948,0.8948
262.0,0.0,0.9049,0.9049
263.0,0.0,0.9641,0.9641
264.0,0.0,0.9902,0.9902
265.0,0.0,0.9388,0.9388
266.0,0.0,0.9456,0.9456
267.0,0.0,0.9464,0.9464
268.0,0.0,0.9362,0.9362
269.0,0.0,0.9321,0.9321
270.0,0.0,0.9537,0.9537
271.0,0.0,0.9576,0.9576
272.0,0.0,0.9433,0.9433
273.0,0.0,0.9471,0.9471
274.0,0.0,0.9443,0.9443
275.0,0.0,0.9383,0.9383
276.0,0.0,0.9288,0.9288
277.0,0.0,0.9226,0.9226
278.0,0.0,0.9263,0.9263
279.0,0.0,0.9534,0.9534
280.0,0.0,0.9453,0.9453
281.0,0.0,0.9398,0.9398
282.0,0.0,0.9363,0.9363
283.0,0.0,0.9402,0.9402
284.0,0.0,0.9352,0.9352
285.0,0.0,0.9296,0.9296
286.0,0.0,0.927,0.927
287.0,0.0,0.9197,0.9197
288.0,0.0,0.9144,0.9144
289.0,0.0,0.9118,0.9118
290.0,0.0,0.9133,0.9133
291.0,0.0,0.9138,0.9138
292.0,0.0,0.91,0.91
293.0,0.0,0.9048,0.9048
294.0,0.0,0.9107,0.9107
295.0,0.0,0.9028,0.9028
296.0,0.0,0.9025,0.9025
297.0,0.0,0.8991,0.8991
298.0,0.0,0.9034,0.9034
299.0,0.0,0.9023,0.9023
300.0,0.0,0.8986,0.8986
301.0,0.0,0.8993,0.8993
302.0,0.0,0.8972,0.8972
303.0,0.0,0.8907,0.8907
304.0,0.0,0.8931,0.8931
305.0,0.0,0.8894,0.8894
306.0,0.0,0.8905,0.8905
307.0,0.0,0.891,0.891
308.0,0.0,0.8863,0.8863
309.0,0.0,0.8941,0.8941
310.0,0.0,0.8911,0.8911
311.0,0.0,0.8849,0.8849
312.0,0.0,0.8842,0.8842
313.0,0.0,0.8773,0.8773
314.0,0.0,0.8761,0.8761
315.0,0.0,0.878,0.878
316.0,0.0,0.8761,0.8761
317.0,0.0,0.8873,0.8873
318.0,0.0,0.8868,0.8868
319.0,0.0,0.88,0.88
320.0,0.0,0.8794,0.8794
321.0,0.0,0.878,0.878
322.0,0.0,0.874,0.874
323.0,0.0,0.8722,0.8722
324.0,0.0,0.881,0.881
325.0,0.0,0.8926,0.8926
326.0,0.0,0.895,0.895
327.0,0.0,0.8814,0.8814
328.0,0.0,0.8869,0.8869
329.0,0.0,0.8802,0.8802
330.0,0.0,0.8845,0.8845
331.0,0.0,0.8768,0.8768
332.0,0.0,0.8677,0.8677
333.0,0.0,0.8625,0.8625
334.0,0.0,0.87,0.87
335.0,0.0,0.8813,0.8813
336.0,0.0,0.877,0.877
337.0,0.0,0.8755,0.8755
338.0,0.0,0.8755,0.8755
339.0,0.0,0.8738,0.8738
340.0,0.0,0.8746,0.8746
341.0,0.0,0.8673,0.8673
342.0,0.0,0.8619,0.8619
343.0,0.0,0.8588,0.8588
344.0,0.0,0.8616,0.8616
345.0,0.0,0.8651,0.8651
346.0,0.0,0.8819,0.8819
347.0,0.0,0.8745,0.8745
348.0,0.0,0.872,0.872
349.0,0.0,0.8681,0.8681
350.0,0.0,0.8712,0.8712
351.0,0.0,0.8693,0.8693
352.0,0.0,0.865,0.865
353.0,0.0,0.8583,0.8583
354.0,0.0,0.8539,0.8539
355.0,0.0,0.8556,0.8556
356.0,0.0,0.8588,0.8588
357.0,0.0,0.8628,0.8628
358.0,0.0,0.8635,0.8635
359.0,0.0,0.8589,0.8589
360.0,0.0,0.8595,0.8595
361.0,0.0,0.8545,0.8545
362.0,0.0,0.8553,0.8553
363.0,0.0,0.8489,0.8489
364.0,0.0,0.8538,0.8538
365.0,0.0,0.8438,0.8438
366.0,0.0,0.8454,0.8454
367.0,0.0,0.8468,0.8468
368.0,0.0,0.8533,0.8533
369.0,0.0,0.8564,0.8564
370.0,0.0,0.8649,0.8649
371.0,0.0,0.8517,0.8517
372.0,0.0,0.8513,0.8513
373.0,0.0,0.8543,0.8543
374.0,0.0,0.8507,0.8507
375.0,0.0,0.8411,0.8411
376.0,0.0,0.8383,0.8383
377.0,0.0,0.8402,0.8402
378.0,0.0,0.8379,0.8379
379.0,0.0,0.8394,0.8394
380.0,0.0,0.8529,0.8529
381.0,0.0,0.8947,0.8947
382.0,0.0,0.8512,0.8512
383.0,0.0,0.8621,0.8621
384.0,0.0,0.8562,0.8562
385.0,0.0,0.855,0.855
386.0,0.0,0.8558,0.8558
387.0,0.0,0.8511,0.8511
388.0,0.0,0.849,0.849
389.0,0.0,0.8405,0.8405
390.0,0.0,0.841,0.841
391.0,0.0,0.8421,0.8421
392.0,0.0,0.8386,0.8386
393.0,0.0,0.8409,0.8409
394.0,0.0,0.8441,0.8441
395.0,0.0,0.8441,0.8441
396.0,0.0,0.8438,0.8438
397.0,0.0,0.8435,0.8435
398.0,0.0,0.8429,0.8429
399.0,0.0,0.8369,0.8369
400.0,0.0,0.8325,0.8325
401.0,0.0,0.8445,0.8445
402.0,0.0,0.8395,0.8395
403.0,0.0,0.8497,0.8497
404.0,0.0,0.8347,0.8347
405.0,0.0,0.8343,0.8343
406.0,0.0,0.8333,0.8333
407.0,0.0,0.829,0.829
408.0,0.0,0.8349,0.8349
409.0,0.0,0.8296,0.8296
410.0,0.0,0.8278,0.8278
411.0,0.0,0.829,0.829
412.0,0.0,0.8301,0.8301
413.0,0.0,0.8347,0.8347
414.0,0.0,0.8242,0.8242
415.0,0.0,0.8247,0.8247
416.0,0.0,0.8244,0.8244
417.0,0.0,0.8178,0.8178
418.0,0.0,0.822,0.822
419.0,0.0,0.8193,0.8193
420.0,0.0,0.8361,0.8361
421.0,0.0,0.8477,0.8477
422.0,0.0,0.8228,0.8228
423.0,0.0,0.8336,0.8336
424.0,0.0,0.8228,0.8228
425.0,0.0,0.8235,0.8235
426.0,0.0,0.8224,0.8224
427.0,0.0,0.8173,0.8173
428.0,0.0,0.8132,0.8132
429.0,0.0,0.8211,0.8211
430.0,0.0,0.8172,0.8172
431.0,0.0,0.8148,0.8148
432.0,0.0,0.8168,0.8168
433.0,0.0,0.8208,0.8208
434.0,0.0,0.81,0.81
435.0,0.0,0.8143,0.8143
436.0,0.0,0.8121,0.8121
437.0,0.0,0.8125,0.8125
438.0,0.0,0.8195,0.8195
439.0,0.0,0.8104,0.8104
440.0,0.0,0.8121,0.8121
441.0,0.0,0.8124,0.8124
442.0,0.0,0.8002,0.8002
443.0,0.0,0.8081,0.8081
444.0,0.0,0.8034,0.8034
445.0,0.0,0.8049,0.8049
446.0,0.0,0.8065,0.8065
447.0,0.0,0.8067,0.8067
448.0,0.0,0.8049,0.8049
449.0,0.0,0.8002,0.8002
450.0,0.0,0.8053,0.8053
451.0,0.0,0.7922,0.7922
452.0,0.0,0.8006,0.8006
453.0,0.0,0.7991,0.7991
454.0,0.0,0.8003,0.8003
455.0,0.0,0.7932,0.7932
456.0,0.0,0.7866,0.7866
457.0,0.0,0.7905,0.7905
458.0,0.0,0.7881,0.7881
459.0,0.0,0.793,0.793
460.0,0.0,0.7934,0.7934
461.0,0.0,0.7977,0.7977
462.0,0.0,0.8068,0.8068
463.0,0.0,0.801,0.801
464.0,0.0,0.7944,0.7944
465.0,0.0,0.7956,0.7956
466.0,0.0,0.7946,0.7946
467.0,0.0,0.7881,0.7881
468.0,0.0,0.7883,0.7883
469.0,0.0,0.7841,0.7841
470.0,0.0,0.781,0.781
471.0,0.0,0.7918,0.7918
472.0,0.0,0.7927,0.7927
473.0,0.0,0.7941,0.7941
474.0,0.0,0.7931,0.7931
475.0,0.0,0.7912,0.7912
476.0,0.0,0.784,0.784
477.0,0.0,0.7874,0.7874
478.0,0.0,0.7802,0.7802
479.0,0.0,0.7774,0.7774
480.0,0.0,0.7765,0.7765
481.0,0.0,0.7721,0.7721
482.0,0.0,0.7802,0.7802
483.0,0.0,0.7761,0.7761
484.0,0.0,0.7889,0.7889
485.0,0.0,0.7873,0.7873
486.0,0.0,0.7779,0.7779
487.0,0.0,0.7838,0.7838
488.0,0.0,0.7694,0.7694
489.0,0.0,0.7726,0.7726
490.0,0.0,0.7675,0.7675
491.0,0.0,0.7685,0.7685
492.0,0.0,0.7662,0.7662
493.0,0.0,0.767,0.767
494.0,0.0,0.7733,0.7733
495.0,0.0,0.7757,0.7757
496.0,0.0,0.7787,0.7787
497.0,0.0,0.7682,0.7682
498.0,0.0,0.7676,0.7676
499.0,0.0,0.7643,0.7643
500.0,0.0,0.7668,0.7668
501.0,0.0,0.7579,0.7579
502.0,0.0,0.7595,0.7595
